item_id,nli_raw_gameplay,nli_raw_story,nli_raw_graphics,nli_ctr_gameplay,nli_ctr_story,nli_ctr_graphics,n_reviews,n_plot,n_characters,n_writing
B00KWJ4JW4,0.3472,0.0545,-0.8038,0.1552,-0.1873,-0.3087,20,12,9,5
B00L4KVO78,0.4983,0.5478,0.0357,0.315,-0.0797,0.0589,26,19,8,4
B00L59D9HG,,0.8975,,,0.8975,,18,0,3,0
B00LCHZRIK,0.4765,-0.383,,0.4829,-0.3766,,12,4,4,0
B00M049CG2,0.6368,0.5122,0.7823,0.2435,0.0402,0.0555,25,12,10,4
B00M31VIOG,0.433,0.5084,0.8557,0.2484,0.1389,-0.0666,29,20,5,2
B00M3D8IPQ,0.3809,-0.1004,0.4934,0.2824,0.3906,0.1591,11,7,2,5
B00M3D8IYM,0.5224,0.1392,0.5929,0.2874,-0.3424,0.2508,40,26,12,5
B00M9TD584,0.4093,-0.0718,0.7213,0.3105,-0.1846,0.0252,26,8,7,1
B00MA5TSFQ,0.7849,0.7582,0.8406,0.3384,-0.0791,-0.0975,22,15,8,3
B00MU1YEE0,0.5016,0.2716,0.6176,0.3124,-0.038,0.0299,33,18,11,6
B00MUY0OFU,0.523,0.4822,,0.4082,0.2143,,48,14,6,0
B00MV7KVP4,0.4596,0.5126,0.6839,0.1219,0.1245,-0.0011,82,45,36,14
B00MVUKM0A,0.5205,0.7567,0.7257,0.2414,0.6083,-0.0761,20,5,4,1
B00N4ABT1C,0.8126,0.76,,0.3942,-0.0768,,23,2,1,0
B00NFXON1Q,-0.1565,0.0807,0.2896,-0.016,0.2047,0.0273,27,7,7,3
B00NMS0YYO,0.2027,0.1932,,-0.0031,-0.1007,,19,10,7,0
B00NY5Y40U,0.4608,0.8854,0.795,0.1806,0.325,0.2345,15,8,4,4
B00NY62FH8,0.7951,0.42,,0.6257,-0.2009,,22,11,3,0
B00PB9LZQI,0.9068,0.8342,0.8698,0.5123,-0.0631,-0.0387,34,16,3,5
B00PE1KNPC,0.2268,-0.5173,-0.0696,0.3479,-0.3988,0.362,30,13,6,2
B00Q03M3HY,-0.0215,-0.3028,0.4057,-0.1439,-0.25,-0.1777,23,13,3,3
B00QXJFE08,-0.0882,-0.7477,0.7701,0.1463,-0.3223,0.3014,28,16,11,2
B00R9NWTQO,0.8041,0.1851,0.7605,0.5151,-0.1918,-0.0878,18,12,5,4
B00RZ7T8TK,,0.8491,,,0.8491,,14,0,4,0
B00S1LRX3W,0.9768,0.8827,,0.9768,0.8827,,17,4,1,0
B00SHXKC8M,0.7333,0.4807,0.5887,0.3613,-0.065,0.0096,18,12,5,6
B00SX9UD8E,0.3372,-0.2257,0.6813,0.2593,0.2586,-0.1536,19,9,2,2
B00USM22DI,0.5424,0.4495,0.8714,0.2326,-0.1655,0.2806,25,14,4,4
B00VQZOIAG,0.5528,0.0203,-0.0203,0.5547,0.0219,-0.5832,23,9,11,2
B00VU4J13W,-0.1297,-0.4622,0.3412,-0.0008,-0.131,0.0049,50,23,12,3
B00VU4J8YY,0.561,0.5887,0.0783,0.3135,-0.0918,0.1123,22,11,4,2
B00W8FYFBA,-0.0633,-0.4716,0.3908,0.0671,-0.2041,0.3388,47,31,14,5
B00WOK8YX4,0.5907,-0.021,,0.4796,-0.2114,,22,12,7,0
B00WTI2HV6,0.7251,0.6561,0.6806,0.1726,0.0249,-0.1312,19,8,8,5
B00WTI3JPE,0.5767,0.8095,0.6919,0.072,0.1836,-0.0497,98,60,47,23
B00X87BLK0,0.4787,0.3728,0.7816,0.2421,-0.0647,0.7675,43,19,10,3
B00XK9OVSU,0.5627,0.6833,0.861,0.1926,0.2695,-0.0548,36,20,9,7
B00YQ1NOPM,0.6068,0.5516,0.1376,0.2668,0.1321,-0.0318,28,16,11,5
B00YQ2KCWO,0.3586,0.1917,0.3292,0.2122,-0.0149,0.1222,66,46,29,6
B00YQM1PNY,0.5516,0.7148,0.8733,0.1459,0.0529,-0.053,49,24,12,6
B00Z7V9P8K,0.3076,0.5265,0.5755,0.0561,0.1841,0.0509,79,46,28,17
B00Z9LUDX4,0.9452,0.5506,0.855,0.3011,-0.1864,-0.0366,31,18,11,10
B00Z9LUFHS,0.6237,0.2953,0.7867,0.391,-0.1775,-0.1009,22,16,6,1
B00ZJ20YQO,0.3637,-0.0043,0.9058,0.2572,-0.0833,-0.0509,24,15,8,2
B00ZJEIVB2,-0.0974,0.0137,0.6455,-0.0488,-0.0771,0.4678,13,7,4,2
B00ZM5OXD8,0.7486,0.2187,0.8473,0.4888,-0.0411,-0.0735,21,10,10,2
B00ZMBLKPG,0.5788,0.0137,0.7615,0.3145,-0.0591,0.1001,27,13,6,5
B00ZMBMO06,0.5434,0.821,0.6992,0.0438,0.1787,0.6992,26,9,7,1
B00ZPQZMUM,0.1139,0.22,-0.9282,-0.0348,0.0899,0.0061,16,7,8,1
B00ZPTMX60,0.7113,0.2921,-0.0211,0.5045,-0.0801,0.0015,18,9,5,2
B00ZQB28XK,0.1431,-0.2756,0.8555,0.1091,-0.2663,-0.0403,37,21,15,2
B00ZQBLNP4,-0.3195,0.6239,-0.2182,-0.2623,0.4971,0.0049,20,10,7,3
B00ZQC73O8,0.8275,0.7879,0.8298,0.1953,0.0416,0.0344,28,18,14,5
B00ZRZTT3W,0.5116,-0.1872,0.8136,0.4111,-0.1674,-0.09,26,17,5,2
B013H0IRO0,0.3655,0.5433,0.4148,0.0075,0.2217,-0.2517,31,14,18,4
B013HMN66M,0.7749,0.5757,0.7365,0.2296,-0.0624,0.0824,34,16,12,7
B0166QDJDQ,0.4017,0.1478,0.3958,0.2845,-0.0859,-0.0994,33,20,10,5
B0166QDJZE,0.0548,0.0127,0.92,-0.0732,-0.0209,-0.0371,13,8,2,1
B017L186MY,0.7171,-0.2298,0.044,0.6197,-0.4733,-0.4226,17,10,4,2
B017S3OPZM,0.3027,-0.6141,0.7722,0.3875,0.0387,-0.1095,13,5,2,1
B017TFOZOA,0.7712,0.7935,0.7966,0.1895,-0.0022,0.0051,21,18,12,6
B017W175Y8,0.2843,0.346,0.8284,-0.0426,-0.1162,0.105,21,14,6,6
B017W1771Y,0.9431,0.9834,0.914,0.7072,0.021,-0.0295,23,8,1,2
B018RKS1TG,0.2947,-0.057,,0.435,0.4339,,20,7,2,0
B0191J0RXA,0.5062,0.8523,0.9187,0.2711,0.288,0.0394,19,12,5,1
B019J6RYCW,-0.191,-0.4748,,-0.0055,-0.2429,,16,10,8,0
B01C93CWSI,0.8539,0.7454,0.7909,0.3844,-0.0371,-0.0563,9,5,3,1
B01C93CWU6,,-0.9921,-0.6545,,-0.1688,0.1688,6,0,1,1
B01EZA0D8Y,-0.0671,-0.0364,0.6975,-0.2431,-0.3019,0.6754,19,11,4,3
B01EZAA2ZI,-0.0365,0.2559,0.0337,-0.1293,0.1353,0.0524,18,13,10,2
B01F9HMO2K,0.6224,0.5117,0.0411,0.2966,0.0773,0.003,18,12,9,2
B01F9HMO9S,0.027,0.5756,0.3225,0.0503,0.4149,0.0416,10,7,5,3
B01GKF7T9S,0.7448,0.8897,0.7729,0.4051,0.1332,-0.0835,27,15,9,2
B01GKGVI8U,0.6924,0.5024,0.7234,0.2342,-0.0385,-0.0903,22,15,11,4
B01GKGVIB2,0.3613,0.8615,,0.0519,-0.0667,,7,3,1,0
B01GKHJP98,0.1997,0.3038,0.9367,0.2082,0.3209,-0.04,7,6,3,1
B01GW3NY5Q,-0.0378,-0.5316,-0.0996,0.1499,-0.2688,0.5112,12,7,5,2
B01GW3ODBU,0.6893,0.043,0.7088,0.4742,0.0213,-0.1302,18,8,2,2
B01GW3P9PE,,,,,,,1,0,0,0
B01GW3POY0,0.5611,0.6827,,0.211,0.0875,,26,17,10,0
